group,category,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01,job_code
0efc10,0,4,4,4,4,4,4,4,4,4,4,4,20,20,20,20,20,19,19,18,18,18,18,18,27,27,27,26,26,24,24,24,24,24,24,23,29,23,23,23,23,23,23,22,21,21,21,21,27,25,25,25,25,25,23,23,23,23,23,23,26,26,26,26,26,26,26,104
0efc10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,105
0efc10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,105
0efc10,1,7,7,7,7,6,6,6,6,7,7,7,2,2,3,4,4,5,5,7,8,8,8,8,,1,1,3,3,3,3,2,3,3,3,4,,,,,,1,1,1,1,1,2,2,,,,,,,,,,,,,,1,2,2,2,2,2,110
0efc10,0,,,,,,,,,,1,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110
0efc10,0,6,6,5,5,5,5,5,5,5,5,4,10,10,10,9,9,9,9,9,9,9,9,9,17,17,17,17,17,17,16,16,16,15,13,12,16,16,16,15,15,15,15,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,110
0efc10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
0efc10,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111
0efc10,0,13,13,13,11,11,11,11,11,11,11,11,65,64,64,63,63,62,62,62,62,62,62,62,67,66,66,65,64,64,62,61,60,60,59,58,59,53,52,52,51,51,51,51,51,51,51,50,51,51,49,48,46,45,45,45,44,43,42,42,46,46,46,46,46,46,46,201
0efc10,1,53,53,53,53,55,56,55,56,56,56,57,,,2,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,3,3,3,3,,1,2,2,2,2,2,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,201
