group,phy_comp_type_code_id,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01
4362a00dde35,103,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,5,5,5,5,5,5,5
4362a00dde35,104,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,6,5,5,5,5,6,4,4,3,4,4,4,4,4,4,4,4,4,11,13,13,12,16,18,19,20,21,21
4362a00dde35,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
4362a00dde35,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
4362a00dde35,201,4,4,4,4,4,4,3,3,3,3,3,3,3,5,5,5,5,5,5,7,10,10,9,7,7,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15
4362a00dde35,202,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2
4362a00dde35,203,1,1,1,,,,,,,,,,,,,,1,1,1,4,4,4,4,8,10,10,10,10,11,12,13,13,13,13,13,14,15,15,16,16,16,16,17,19,19,22,22,22,23,32,34,39,38,39,43,40,39,40,50,46,46,49,53,55,64,68
4362a00dde35,204,,,,,,,,,,,,1,1,2,2,2,2,2,2,6,6,6,7,6,7,8,8,8,8,8,10,11,13,13,14,14,14,15,16,16,18,18,19,19,19,26,30,38,44,52,57,72,74,78,78,75,77,78,94,109,121,131,137,137,145,146
4362a00dde35,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,9,10,10,11,12,12
4362a00dde35,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
