group,phy_comp_type_code_id,2020_01_01,2020_02_01,2020_03_01,2020_04_01,2020_05_01,2020_06_01,2020_07_01,2020_08_01,2020_09_01,2020_10_01,2020_11_01,2020_12_01,2021_01_01,2021_02_01,2021_03_01,2021_04_01,2021_05_01,2021_06_01,2021_07_01,2021_08_01,2021_09_01,2021_10_01,2021_11_01,2021_12_01,2022_01_01,2022_02_01,2022_03_01,2022_04_01,2022_05_01,2022_06_01,2022_07_01,2022_08_01,2022_09_01,2022_10_01,2022_11_01,2022_12_01,2023_01_01,2023_02_01,2023_03_01,2023_04_01,2023_05_01,2023_06_01,2023_07_01,2023_08_01,2023_09_01,2023_10_01,2023_11_01,2023_12_01,2024_01_01,2024_02_01,2024_03_01,2024_04_01,2024_05_01,2024_06_01,2024_07_01,2024_08_01,2024_09_01,2024_10_01,2024_11_01,2024_12_01,2025_01_01,2025_02_01,2025_03_01,2025_04_01,2025_05_01,2025_06_01
0c72d29b8ebc3e12c7bf92,110,105,108,109,97,94,94,94,94,96,90,83,81,77,78,77,78,78,81,80,81,82,81,81,78,75,77,76,75,75,68,66,71,78,80,78,77,76,78,79,79,78,79,79,78,78,78,76,77,76,75,75,74,75,75,74,74,71,68,68,68,68,67,67,67,67,67
0c72d29b8ebc3e12c7bf92,111,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c72d29b8ebc3e12c7bf92,210,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ddfa9a32bf5f17,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1a1a357e28,101,6,6,6,6,6,6,15,15,15,15,15,5,5,5,5,5,5,4,4,4,4,4,3,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,17,17,16,16,16,16,16,16,16,15,15,15,16,16,2,2,2,2,2
1a1a357e28,102,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,,,,,
1a1a357e28,104,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,17,17,16,1,1,1,1,2,2,2,2,3,3,3,3,,1,1,1,1,1,1,1,1,1,1,2,19,20,20,20,20,21,21,21,21,22,22,21,21,21,10,10,10,11,11
1a1a357e28,105,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,1,1,,1,2,3,3,3,3,3,3,3,3,3,6,6,6,6,7,7,7,8,8,8,8,7,6,6,,,,,
1a1a357e28,110,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,
1a1a357e28,201,5,5,5,5,5,5,6,6,6,6,6,16,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,,,,,,,,,,,,,,,,,,,
1a1a357e28,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,
1a1a357e28,203,,,,,,,,,,,,,,,,,,,,,,,2,2,4,3,3,2,2,2,1,2,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1a1a357e28,204,2,2,2,2,2,2,2,2,2,2,2,,,,,,,1,1,1,,,1,16,16,16,16,16,17,17,16,16,16,15,15,19,19,19,19,19,19,19,19,19,19,19,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
1a1a357e28,205,,,,,,,,,,,,,,,,,,,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
1a1a357e28,210,,,,,,,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b7d998b4092b2,102,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,5,5,5,9,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,7,7,7,8,8,8,8,4,5,5,5,5,5,5,5,5,6,6,6,2,2,2,2,2,2,2
1b7d998b4092b2,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,4,8,9,8,8
1b7d998b4092b2,104,34,34,34,34,33,35,37,37,36,38,38,39,39,38,38,38,38,38,38,41,41,39,39,38,38,38,38,38,41,42,42,40,39,39,41,41,40,40,40,38,39,39,41,42,46,47,46,46,48,49,51,49,50,49,51,49,48,48,49,49,53,55,58,62,62,59
1b7d998b4092b2,105,12,14,14,13,13,13,12,12,12,13,14,13,12,12,12,13,13,13,13,14,14,15,17,17,17,16,16,16,16,16,16,16,16,16,18,18,17,17,16,16,16,16,15,15,15,18,21,20,20,20,20,21,21,20,21,21,20,20,23,24,23,23,23,22,22,21
1b7d998b4092b2,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1b7d998b4092b2,110,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
1b7d998b4092b2,201,23,23,23,23,23,23,23,22,23,24,24,21,20,20,21,21,21,21,22,22,22,22,22,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,20,19,19,18,18,18,18,18,22,22,21,21,21,21,20,20,20,20,20,20,22,21,21,21,21,21,20
1b7d998b4092b2,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2
1b7d998b4092b2,203,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
1b7d998b4092b2,204,,,,,,,,,,4,3,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,3,3,2,2,1,1,1,,,,,,,1,,,,,,,,,,,1,1,1,1,1
1b7d998b4092b2,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
1b4485cbf7e62daf3,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
1b4485cbf7e62daf3,102,15,15,16,16,16,16,16,18,18,18,18,36,36,36,36,36,36,36,36,34,32,32,32,34,33,33,33,33,33,33,34,36,38,38,37,28,30,30,30,29,29,30,32,39,39,40,40,30,31,31,30,30,30,30,32,38,44,45,45,39,40,41,41,42,44,42
1b4485cbf7e62daf3,103,56,56,57,58,58,58,58,58,58,57,57,53,53,53,53,53,53,54,56,55,57,55,55,55,55,55,55,55,55,55,55,56,58,58,58,56,57,56,57,56,57,57,57,57,58,58,58,52,52,53,53,53,52,53,36,37,39,39,38,40,40,40,41,41,43,44
1b4485cbf7e62daf3,104,251,255,259,259,259,261,262,266,265,266,265,263,263,265,273,275,271,272,270,272,270,269,266,259,254,259,262,263,265,265,264,262,261,267,271,272,270,273,285,287,284,286,286,288,288,297,300,300,306,315,322,322,329,333,336,341,349,352,370,366,362,363,372,377,382,384
1b4485cbf7e62daf3,105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
1b4485cbf7e62daf3,108,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1b4485cbf7e62daf3,110,2,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b4485cbf7e62daf3,111,52,52,53,53,53,53,53,53,53,53,53,54,54,54,54,54,53,52,53,53,52,52,52,52,51,51,51,52,52,54,56,56,55,55,54,54,56,56,56,54,53,53,52,53,53,53,53,53,53,53,53,53,56,56,56,56,56,56,56,55,55,54,53,54,54,54
1b4485cbf7e62daf3,201,367,369,369,369,368,368,372,378,374,375,374,352,349,349,350,349,348,347,347,350,352,351,348,337,335,333,333,333,331,331,329,326,323,323,323,335,332,332,331,331,329,328,328,326,326,323,322,341,337,337,337,335,335,334,332,331,327,326,324,339,338,336,336,336,336,335
1b4485cbf7e62daf3,202,11,11,11,11,11,10,10,12,12,12,12,16,16,16,15,15,15,15,17,17,17,16,16,22,21,21,20,20,21,23,25,30,31,32,32,31,30,30,30,30,30,32,34,36,38,38,38,34,34,33,33,31,29,29,30,33,33,34,34,26,28,28,28,28,28,28
1b4485cbf7e62daf3,203,15,15,15,14,14,14,14,13,13,21,20,23,18,17,17,17,17,17,17,17,17,17,17,19,16,16,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,14,13,15,15,10,10,10,10,9,9,9,9,9,10,10,10,8,8,8,8,8,8,8
1b4485cbf7e62daf3,204,,,,,,,,,,6,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4
2e6f63ebf25d25,110,35,39,36,30,29,28,28,27,28,25,25,25,27,26,28,30,29,32,33,33,30,27,27,25,27,27,24,25,26,25,23,26,29,32,30,31,33,31,33,33,34,34,34,34,37,37,36,37,38,38,38,39,40,39,40,41,41,42,40,39,41,42,42,41,40,40
2e6f63ebf25d25,111,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e6f63ebf25d25,210,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02f02cae8092e,101,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
02f02cae8092e,102,,,,,,,,,,,,3,3,3,3,3,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
02f02cae8092e,103,,,,,,,,,,2,,,,,,,,,,1,1,1,1,,,,,,,,,,5,6,8,9,9,9,10,9,8,10,19,21,21,24,23,21,22,23,23,25,25,25,27,28,29,29,30,33,33,31,32,30,30,30
02f02cae8092e,104,23,25,27,28,29,29,32,35,36,45,38,37,35,35,36,36,37,37,38,38,40,41,41,42,41,42,42,42,43,44,44,46,71,83,94,103,106,108,112,114,115,116,140,141,148,151,155,154,143,144,144,143,140,139,155,158,164,172,174,179,183,180,180,176,176,172
02f02cae8092e,201,88,88,88,87,83,81,78,76,77,77,77,72,72,72,71,71,69,67,67,66,66,66,66,68,68,67,67,67,67,67,67,67,66,66,66,69,68,68,68,68,64,62,62,62,62,62,60,58,53,51,51,51,51,51,51,49,49,49,49,48,47,44,44,44,43,43
02f02cae8092e,202,2,2,2,2,2,2,5,7,7,7,7,11,11,11,11,11,12,12,12,13,15,16,17,13,13,12,13,13,14,14,14,14,15,17,17,13,12,11,11,11,10,10,10,10,9,9,9,9,8,8,7,7,7,7,7,7,7,6,5,3,3,3,3,3,3,3
02f02cae8092e,203,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,8,8,8,8,9,9,9,8,8,8,8,9,9,9,9,9,9,9,9,11,11,11,11,15,15,15,16,19,21,25,28,25,24,24,23,23,23,22,27,28,32,34,34,36,37,36,33,34,33,32
02f02cae8092e,204,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
3ba102ba8a6daabf6e,110,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3e5883898f47b1c69c649f982b1,110,98,99,99,92,93,90,90,90,90,79,79,79,79,80,77,78,77,75,75,75,74,76,76,75,78,76,72,73,73,74,71,71,75,78,79,78,79,78,79,76,76,76,78,78,80,80,78,80,82,82,82,82,83,85,83,87,87,84,84,86,86,87,85,85,90,90
5a031954ad49417725,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
5a031954ad49417725,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
5a031954ad49417725,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
5a031954ad49417725,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,3,100,99,97,97,97,98,98,100,101,104,104,107,109,108,108,108,107,107,107,107,109,109,109,101,96,96,97,97,96,92
5a031954ad49417725,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,9,17,17,273,270,278,276,275,273,273,274,279,280,283,284,284,279,285,286,284,284,284,282,281,276,274,271,257,250,252,255,255,254,253
5a031954ad49417725,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,26,26,26,26,26,26,26,27,27,26,25,25,24,24,23,22,22,21,16,,,,,,,,,,,
5df6eec4d2d04b,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
5df6eec4d2d04b,104,12,13,13,13,13,12,12,12,12,13,15,15,15,15,17,17,17,18,18,19,20,20,20,22,24,24,24,24,27,28,28,28,28,29,31,32,34,33,33,33,32,34,35,36,36,36,37,40,40,40,40,40,40,41,29,28,28,28,30,31,33,34,34,26,25,26
5df6eec4d2d04b,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5df6eec4d2d04b,201,9,9,9,9,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
5df6eec4d2d04b,202,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6c3fe63b9ef864fe9a31ed,110,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,5,7,7,8,9,9,10,10,10,10,10,9,9,10,10,10,10,10,12,11,11,12,13,13,19,19,19,19,20,20,20,21,21,22,21,19
6e2e351343f81d852e,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
6e2e351343f81d852e,103,,,,,,,,,,,,,,,,,,1,1,9,10,10,10,9,9,8,8,8,8,8,8,8,9,9,9,12,13,13,14,14,16,17,17,17,17,17,17,14,14,14,14,14,13,14,16,16,17,17,17,20,19,19,19,19,19,19
6e2e351343f81d852e,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2
6e2e351343f81d852e,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,3,3,3,3,5,8,8,9,9,9
6e2e351343f81d852e,203,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,2,2,1,1,1,,,,,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,
8ae43403720bb,102,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ae43403720bb,103,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,4,4,3,3,3,2,4,4,4,4,5,5,4,5,5,5,6,5,5,6,6,6,6,6
8ae43403720bb,104,134,136,138,139,137,139,139,142,140,140,141,142,142,142,147,148,150,152,158,159,159,159,156,155,157,157,157,156,155,154,156,158,155,154,153,153,150,149,153,158,160,161,162,167,170,175,177,175,175,175,177,179,177,176,180,179,180,180,181,175,174,168,171,176,174,174
8ae43403720bb,108,23,24,23,24,24,23,24,24,23,24,24,25,25,25,26,27,27,27,28,27,28,28,29,28,28,26,28,27,27,27,28,27,27,27,27,27,27,29,28,29,29,29,28,29,29,29,30,30,30,30,30,29,28,28,30,29,29,32,32,32,33,31,32,32,32,32
8ae43403720bb,201,78,79,78,78,78,79,85,85,85,85,85,76,76,76,76,76,76,76,76,77,79,79,79,82,82,83,81,81,81,81,81,83,84,84,84,89,89,89,88,88,88,88,88,88,88,88,88,92,92,92,92,92,92,92,92,92,92,92,92,96,95,95,95,94,94,94
8ae43403720bb,202,4,4,4,4,4,4,4,4,4,4,4,14,14,14,14,14,14,14,15,15,15,15,15,13,13,13,13,13,13,13,13,13,13,13,13,8,8,8,8,8,8,8,8,9,10,10,10,6,6,6,6,6,6,6,6,7,7,7,7,3,3,3,3,3,3,3
8ae43403720bb,203,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,9,9,8,8,8,8,9,9,9,9,9,10,10,10,10,9,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,9,9,9,8,8,9,9,9,9,9,9,8
8ae43403720bb,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,7
014cf14e51e9703,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17a37484b09374fafb657333ddd,110,16,16,15,15,16,17,16,16,16,14,15,15,15,15,16,15,16,16,16,17,17,16,17,17,17,17,17,17,19,19,20,20,24,25,25,24,25,28,28,28,27,28,28,28,28,26,27,28,28,28,27,27,27,27,27,28,29,29,28,28,28,29,30,30,31,30
29e8b,110,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,10,10,9,9,9,9,9,9,8,9,9,9,9,9,10,10,11,11,11,10,10,11,12,12
34e2b46c57a1a6e5,110,36,36,27,26,26,25,26,24,24,21,23,24,24,24,25,24,24,24,25,24,25,25,26,25,25,26,25,26,26,25,23,22,23,23,23,22,22,21,21,21,21,20,20,20,20,20,20,20,20,18,19,19,19,19,19,19,19,19,19,18,18,18,19,19,19,19
34e2b46c57a1a6e5,111,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34e2b46c57a1a6e5,203,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34e2b46c57a1a6e5,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
59fe938f1d50238,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
060dcb0f2859da0f9e3d,101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060dcb0f2859da0f9e3d,103,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060dcb0f2859da0f9e3d,104,11,15,15,15,15,16,12,10,11,10,9,12,12,12,12,12,11,11,11,10,10,10,10,8,8,8,7,8,8,8,8,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,2,4,5,6
060dcb0f2859da0f9e3d,108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060dcb0f2859da0f9e3d,204,,,,,,1,1,3,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
84b630b95b,110,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
92a3122ee0b6196b,110,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,6,6,6,6,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6
95c3489dc709280,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,23,22,21,19,18,19,19,19,17,17,17,16,17,18,18,19,18,18,19,19,19,19,20,20,20,20,20,20,19,19,20,20,20
124b0b2923,101,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124b0b2923,102,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124b0b2923,104,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6,6,7,6,6,6,6,7,6,6,5,8,7,7,7,8,8,8,6,6,5,5,4,4,4,5,5,6,6,6,6,7,7,6,6,5,5,4,5,4,4,4,5,5,5
124b0b2923,105,4,4,5,5,5,5,5,5,5,6,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,8,9,9,9,10,11,10,10,10,10,12,12,13,12,12,12,12,12,12,12,12,14,15,16,16,16,16,15,16,22,22,22,22,23,23,23,23,23,23,23
124b0b2923,201,42,42,42,42,42,42,42,43,43,42,42,43,44,44,44,44,44,44,45,45,44,44,43,43,41,39,38,38,38,38,38,39,39,39,39,38,38,38,39,39,39,39,39,40,40,37,37,36,36,38,38,37,37,37,37,37,37,37,37,35,35,35,34,33,33,33
124b0b2923,202,3,3,3,3,4,3,5,5,6,6,6,7,7,7,7,7,7,7,8,7,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,10,11,11,10,11,11,11,11,11,11,11
